dataset,train,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
cnn_vgg19_128_avg.csv,10-fold CV,0.5875,0.58375,0.59375,0.6012500000000001,0.5987500000000001,0.62,0.62,0.6137499999999999,0.6212500000000001,0.62375
cnn_vgg19_128_max.csv,10-fold CV,0.5549999999999999,0.5399999999999999,0.59,0.5700000000000001,0.60375,0.5875,0.615,0.6075,0.62375,0.6025
hog_128_20.csv,10-fold CV,0.5962500000000001,0.61875,0.6375,0.6512500000000001,0.65,0.64625,0.65125,0.65625,0.635,0.64
hog_256_16.csv,10-fold CV,0.62625,0.6050000000000001,0.635,0.62875,0.6475000000000001,0.6325,0.65625,0.65,0.66125,0.65
cnn_vgg19_256_max.csv,10-fold CV,0.5399999999999999,0.5225000000000001,0.52625,0.55375,0.5675,0.5625000000000001,0.57375,0.5700000000000001,0.6,0.5787500000000001
cnn_vgg16_128_avg.csv,10-fold CV,0.5675,0.6024999999999999,0.61,0.59125,0.60875,0.5925,0.595,0.60375,0.6075,0.6124999999999999
hog_128_16.csv,10-fold CV,0.6012500000000001,0.62375,0.625,0.6287499999999999,0.63875,0.6425000000000001,0.63625,0.65,0.6475000000000001,0.6675
hog_256_20.csv,10-fold CV,0.58375,0.61625,0.6337499999999999,0.6449999999999999,0.6487499999999999,0.64375,0.645,0.64625,0.64375,0.63375
cnn_vgg16_256_max.csv,10-fold CV,0.5549999999999999,0.5575,0.56,0.5549999999999999,0.55375,0.56,0.57,0.5562499999999999,0.5725,0.5675
cnn_vgg16_128_max.csv,10-fold CV,0.5587500000000001,0.5349999999999999,0.5962500000000001,0.58375,0.6137500000000001,0.6025000000000001,0.6012500000000001,0.61375,0.6249999999999999,0.6174999999999999
cnn_vgg19_256_avg.csv,10-fold CV,0.52375,0.5275000000000001,0.52875,0.53,0.5599999999999999,0.5475,0.5450000000000002,0.5725,0.5725,0.5750000000000001
cnn_vgg16_256_avg.csv,10-fold CV,0.5762500000000002,0.5825000000000001,0.6087499999999999,0.57625,0.585,0.5825,0.595,0.6024999999999999,0.5987499999999999,0.6212500000000001
